#,Odaberite spol,Koja je vaša dobna skupina?,Imate li trenutno status studenta?,Kakvo je vaše misljenje o INI kao poslodavcu?,Koliko vežete pojam 'INA' uz Hrvatsku i hrvatski nacionalani identitet?,Smatrate li da biste bili zadovoljni kao zaposlenik sa nekim od grana poslovanja koje INA nudi?,Vidite li sebe u budućnosti kao mogućeg zaposlenika INA grupacije?,Koje područje poslovanja INA grupacije smatrate osobno najzanimljivijim?,Industrija,Kreativnost,Ekologija,Znanost,Energetika,Hrvatska,Na što Vas asocira riječ   'karijera'  ?
88ff7ba636674a1300aa9cd3ce9ca64c,muško,od 18 do 20,1,6,4,1,1,IT potpora,Industrija,,,,Energetika,,"napredak, buducnost"
68d728291138e5a8be73ae2906329c8c,muško,od 21 do 23,1,6,4,1,1,Financije,,,,,Energetika,,"penis, povremeno kita"
6a54c754a1d2cda68b33e34f1c9853fe,žensko,od 21 do 23,1,4,2,0,0,IT potpora,Industrija,,,,Energetika,,Posao i novac
af63a9bb90f972404a6b47faa9e7d6c3,muško,od 18 do 20,1,5,4,0,0,IT potpora,,,,,Energetika,,USPJEH
7c2067d434c2d4a85a793d47ae5ba897,muško,od 21 do 23,1,5,4,1,0,IT potpora,Industrija,,,,Energetika,,Posao
a4161c3fd1f3b79efa0cb99ac6646817,muško,27 ili stariji,1,5,5,1,1,IT potpora,Industrija,Kreativnost,Ekologija,Znanost,Energetika,Hrvatska,Ja mislim da je bartol prezgodna osoba
a39207604a5d74607e6d12c86e4c624f,žensko,od 21 do 23,1,8,6,1,0,IT potpora,Industrija,,,,,Hrvatska,Rezultat puno truda i rada.
01ae3b193e6a1bab2c235090ba0f1eb8,žensko,od 21 do 23,1,6,4,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,"Karijera predstavlja čovjek profesionalni put koji može biti ispunjen usponima, ali isto tako i padovima. "
ee4529fac48ce7edeffd21ea74ae2c82,žensko,od 18 do 20,1,5,7,1,1,IT potpora,Industrija,,,,,,proces cjelozivotnog ucenja
f4dc077d14e766a55e35def84f4925ed,muško,od 21 do 23,1,5,4,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,Posao
0648924eb22ea1773adcd9610e1c3df9,muško,od 21 do 23,1,7,6,1,1,IT potpora,Industrija,,,,Energetika,,Opis onog što smo postigli. 
8429b2a0aa034cc6f4d12ad0f02ddb71,žensko,od 18 do 20,1,6,7,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,Na uspješnost.
bae8670ca8a8b8693efb07166ed29c02,žensko,od 18 do 20,1,9,9,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,Kreativnost,Ekologija,Znanost,Energetika,Hrvatska,"Napredovanje,uspješnost i doprinos u nekome zvanju "
de4ef0df28146faf1420e298a974298e,žensko,od 18 do 20,1,5,7,1,0,Financije,Industrija,,,,,,Smisao života kojeg gradimo kroz duži period u našem životu.
931c1713edc9fda24faf980739a955dc,muško,od 21 do 23,1,8,4,0,0,IT potpora,Industrija,,,,,,.
f8809401dfb8dd7806e0f30815be1652,muško,od 21 do 23,1,7,7,1,1,Financije,Industrija,,,,Energetika,Hrvatska,Sama riječ 'karijera' za mene znači osobni uspjeh.
5506b3fa8f7804406a2a13a176df4b99,žensko,od 21 do 23,1,7,6,1,1,IT potpora,Industrija,,,,,,Budućnost i radno iskustvo
c517d5066989b7fca42e7eb933f678f8,žensko,od 18 do 20,1,9,6,1,0,Financije,Industrija,,,,,,uspješno bavljenje poslom kojeg volim uz realnu plaću za to zanimanje
3094e3c96bfeef4be3f85fbb44a292f0,muško,od 24 do 26,1,1,1,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,Moja osobna postignuca u radu i znanosti
fa70647637f30d43d53ec0bf4c03fd5f,žensko,od 21 do 23,1,7,8,0,0,IT potpora,Industrija,,,,,Hrvatska,na financijsku stabilnost
ecec18baae9fa83d625b286104a9a602,muško,od 18 do 20,1,5,7,1,1,IT potpora,Industrija,,,,Energetika,Hrvatska,posao
f5eb255c166841f5b60b0e37b8ecf1ea,muško,od 21 do 23,1,5,9,1,1,IT potpora,Industrija,,,,Energetika,Hrvatska,Osiguranje egzistencije
a5a138c0f45325cd0d0d4a7932888d28,žensko,od 21 do 23,1,8,4,1,1,IT potpora,Industrija,,,,Energetika,,Rad kojem se posvećuje puno vremena i truda radi napretka i postignuća.
b2d3d74c1df528ec39b31a1050d54e20,muško,od 21 do 23,1,5,2,0,0,IT potpora,Industrija,,,,Energetika,,posao
fadd0c79414531f303deb0d05fe55319,žensko,od 18 do 20,1,5,7,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,zarada
e0e35c76bebc9c5053c0c975e2fb5dfb,žensko,od 18 do 20,1,5,3,1,1,Rafinerije i marketing,Industrija,,,,Energetika,Hrvatska,posao život
c8e859ea0927727ca7e71c6d61a36792,žensko,od 18 do 20,1,9,7,1,0,Financije,Industrija,,,,Energetika,,"Karijera me asocira na prezaposlenost, umor i stres."
6c17f50148f6bb1cbb41019ff549e29b,žensko,od 21 do 23,1,5,4,0,0,IT potpora,,,,,Energetika,,uspjeh
812e8adc8112859cbcca63faa0bdd10d,muško,od 21 do 23,1,5,2,0,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,financijska sigurnost
49919b6f2b137fe7617fb172364be9b1,žensko,od 18 do 20,1,6,7,1,1,Financije,Industrija,,,,Energetika,,Novac
4103ee0e11e9f5e81bfba44eaa25a225,žensko,od 21 do 23,1,7,7,1,1,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,Karijera me asocira na progres u poslovnom životu pojedinca 
cef212ada97813d16c4e1bb11ce7c8a4,žensko,od 21 do 23,1,7,5,1,0,Rafinerije i marketing,,,,,Energetika,,uspjeh
aef521f385755a2b8776ba8223ac37ae,muško,od 18 do 20,1,6,3,1,1,Financije,,,,,Energetika,,Money
ceab48f7510cc83fb99fd23f64d5a04a,muško,od 21 do 23,1,6,7,1,0,Rafinerije i marketing,,,,,Energetika,,"Posao uz mogućnos napredovanja, do zanimljivijih i odgovornijih pozicija kao i bolje plaće."
14edbbc0e6cf145de7eadc1ad8e5b1c0,žensko,od 21 do 23,1,9,9,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,Uspješno zaposlenje i postepeno napredovanje u svom poslu.
2f56a490a3190faa012981665fc4b489,muško,od 18 do 20,1,5,7,1,1,Financije,Industrija,,,,Energetika,,Put napredovanja u poslu.
7085e64340a5eaddd9a62efd8f9e410e,žensko,od 21 do 23,1,6,6,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,Poslovno uspijeće
2458829a05cf8491d6c4bf068f7349dc,žensko,od 21 do 23,1,5,6,1,0,Logistička potpora,Industrija,,,,,,"Na buduće zadimanje, napredovanje, osobni uspjeh itd."
5851d4c459435d7e64ad591af8278f02,muško,od 21 do 23,1,5,5,0,0,Logistička potpora,,,,,Energetika,Hrvatska,Na uspijeh koji gradiš tijekom godina i godina rada. 
974af2027e3ef14d069cc97b266cb2d9,žensko,od 18 do 20,1,5,7,1,0,IT potpora,Industrija,,,,,,cijeloživotno napredovanje i rad
d823d6eaf55a3612d6a0c1adbe4468f4,žensko,od 18 do 20,1,7,8,0,0,Logistička potpora,,,,,Energetika,,"Karijera me asocira na trud, rad, a tim i uspjeh u poslu kojeg volite."
869872d0230630c9b52f34219401b9a5,muško,od 18 do 20,1,5,5,0,0,IT potpora,Industrija,,,,,,cyxc
885668f40176a1effcd776f9cf93dd87,žensko,od 21 do 23,1,5,7,1,1,Logistička potpora,Industrija,,,,,,Asocira me na posao 
ac6d3e958bf1e516132b8d5ff207d127,muško,27 ili stariji,0,1,1,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,Kreativnost,Ekologija,,Energetika,,
feaca93075cc4149ae51a3fe431232af,muško,od 21 do 23,1,4,2,1,0,Rafinerije i marketing,Industrija,,,,Energetika,,Barijera
148365232432b3c0c685d3fdcb955665,žensko,od 21 do 23,1,5,5,1,0,IT potpora,Industrija,,,,,,uspjeh
035272f30e23d932300c343ff628d234,žensko,od 18 do 20,1,6,7,1,1,Rafinerije i marketing,Industrija,,,,Energetika,,Privredivanje za sebe i svoju obitelj. Ispunjavanje vlastitih ciljeva na poslovnom planu.
27431b1a58f3048fede3bd6764a17f60,muško,od 21 do 23,1,9,8,1,0,Istraživanje i proizvodnja nafte i plina,,,,Znanost,Energetika,,uspjeh 
